"";"x.17";"x.18";"x.19";"x.20";"classes"
"1";92;112;118;85;"grey soil"
"2";84;103;104;81;"grey soil"
"3";84;99;104;78;"grey soil"
"4";84;99;104;81;"grey soil"
"5";76;99;104;81;"grey soil"
"6";76;99;108;85;"grey soil"
"7";80;112;118;88;"grey soil"
"8";80;107;113;85;"grey soil"
"9";76;91;104;74;"damp grey soil"
"10";76;95;100;78;"damp grey soil"
"11";76;91;100;74;"damp grey soil"
"12";76;87;91;67;"damp grey soil"
"13";71;87;87;70;"damp grey soil"
"14";68;83;87;67;"damp grey soil"
"15";68;83;87;67;"damp grey soil"
"16";68;83;87;67;"damp grey soil"
"17";71;83;87;70;"damp grey soil"
"18";76;91;91;74;"damp grey soil"
"19";84;103;108;85;"grey soil"
"20";88;112;113;88;"grey soil"
"21";84;99;108;85;"grey soil"
"22";88;99;104;85;"grey soil"
"23";88;103;113;88;"grey soil"
"24";88;112;122;88;"grey soil"
"25";88;103;113;85;"grey soil"
"26";92;112;118;92;"grey soil"
"27";92;112;118;92;"grey soil"
"28";92;107;113;92;"grey soil"
"29";92;107;118;88;"grey soil"
"30";88;107;118;88;"grey soil"
"31";88;103;108;85;"grey soil"
"32";88;103;108;81;"grey soil"
"33";88;103;108;88;"grey soil"
"34";84;103;108;81;"grey soil"
"35";88;99;104;85;"grey soil"
"36";84;103;108;85;"grey soil"
"37";84;99;108;85;"grey soil"
"38";88;107;113;85;"grey soil"
"39";88;103;113;85;"grey soil"
"40";88;99;104;85;"grey soil"
"41";84;99;104;85;"grey soil"
"42";84;99;100;81;"grey soil"
"43";80;91;96;78;"grey soil"
"44";71;75;87;78;"vegetation stubble"
"45";60;54;87;74;"vegetation stubble"
"46";71;79;100;81;"vegetation stubble"
"47";80;95;100;85;"very damp grey soil"
"48";71;79;87;70;"very damp grey soil"
"49";71;79;83;67;"very damp grey soil"
"50";71;79;79;63;"very damp grey soil"
"51";60;68;79;67;"vegetation stubble"
"52";53;54;75;70;"vegetation stubble"
"53";53;54;71;63;"vegetation stubble"
"54";56;51;67;63;"vegetation stubble"
"55";88;121;128;100;"grey soil"
"56";84;107;113;87;"grey soil"
"57";84;99;104;79;"grey soil"
"58";84;99;104;79;"grey soil"
"59";84;103;104;79;"grey soil"
"60";79;107;109;87;"grey soil"
"61";79;107;113;87;"grey soil"
"62";79;103;104;83;"grey soil"
"63";79;103;104;79;"grey soil"
"64";75;95;100;79;"damp grey soil"
"65";75;91;96;71;"damp grey soil"
"66";79;87;93;71;"damp grey soil"
"67";79;87;93;67;"damp grey soil"
"68";75;87;96;71;"damp grey soil"
"69";67;75;85;62;"damp grey soil"
"70";71;75;85;62;"damp grey soil"
"71";71;75;81;67;"damp grey soil"
"72";71;75;81;62;"damp grey soil"
"73";75;83;96;83;"damp grey soil"
"74";79;99;104;83;"grey soil"
"75";84;99;113;87;"grey soil"
"76";88;107;113;87;"grey soil"
"77";88;107;109;83;"grey soil"
"78";88;103;109;87;"grey soil"
"79";84;103;113;87;"grey soil"
"80";88;111;113;92;"grey soil"
"81";93;107;109;92;"grey soil"
"82";93;111;113;92;"grey soil"
"83";93;116;118;92;"grey soil"
"84";88;111;118;92;"grey soil"
"85";93;107;113;87;"grey soil"
"86";93;107;113;87;"grey soil"
"87";93;107;109;87;"grey soil"
